,address,eth_balance
28953,0x4cdc06120d7d93199de6de1fff40e309583affc8,179.5840166
29003,0xb7bd43c049f5e36d3d2d429667cee4ac42e7b1bc,179.13798415
29199,0x58eae42cdc39ea17bb0f0a82bcf4f269813c81f6,177.483509710073505551
29234,0x85f3981aad51a48654fd8666102d8b981571ddf7,177.128507972022399878
29547,0xcb05d22e54ea48eacc744b3cbb90f9b81c6845d5,174.758530898782073617
29585,0x9bfc67b71f2c5fb6c96c3fc40c5db57fd1ff56cb,174.38620790996981332
29617,0x1ea510994d536485da4429180d81c0f4bc3e0288,173.996088114850777601
29618,0x14dc5386f250b479cc9327e6d706c7e04c0a62d1,173.988668430722992052
29695,0xdb2bf67747021e431313a4d0998b92158951e996,173.350051604194551004
29810,0x420e0831ef76b24554c92cf69f2e27d08d49d842,172.29341001
29979,0xdbfa4e7a32aaf704c8b96d6abdc70063b8154be4,170.8703303
30021,0xfdd6cc8f6849e82f5e0102057fa74941024d11b6,170.553474600969373
30058,0x420be95dcd9e3482ad3b04827a7bd04122374b82,170.3832807
